nb_thread, x1, x2, x3, x4, x5
2, 0.26, 0.27, 0.26, 0.27, 0.27
4, 0.71, 0.68, 0.63, 0.60, 0.66
8, 1.17, 1.26, 1.18, 1.21, 1.25
16, 2.43, 2.36, 2.32, 2.36, 2.31
32, 4.48, 4.48, 4.58, 4.46, 4.53
64, 8.70, 8.78, 8.88, 8.78, 8.80
