nb_thread, x1, x2, x3, x4, x5
2, 0.46, 0.47, 0.45, 0.47, 0.45
4, 0.65, 0.61, 0.72, 0.70, 0.56
8, 0.56, 0.62, 0.60, 0.54, 0.60
16, 0.85, 0.89, 0.86, 0.85, 0.87
32, 0.74, 0.74, 0.76, 0.73, 0.69
64, 0.51, 0.51, 0.48, 0.52, 0.51
