nb_thread, x1, x2, x3, x4, x5
2, 0.32, 0.31, 0.32, 0.32, 0.32
4, 0.64, 0.69, 0.70, 0.66, 0.73
8, 0.83, 1.02, 0.93, 0.64, 0.93
16, 1.05, 0.92, 0.88, 0.80, 0.90
32, 0.95, 0.98, 1.05, 1.01, 1.01
64, 1.03, 0.94, 0.92, 1.06, 1.01
