nb_thread, x1, x2, x3, x4, x5
2, 1.74, 1.45, 1.37, 1.32, 1.36
4, 1.80, 1.82, 1.84, 1.86, 1.83
8, 1.97, 2.01, 2.14, 1.96, 1.91
16, 3.17, 3.09, 3.06, 3.11, 3.06
32, 5.40, 5.48, 5.32, 5.44, 5.42
64, 9.85, 9.80, 9.57, 9.45, 9.52
