nb_thread, x1, x2, x3, x4, x5
2, 0.88, 0.75, 0.77, 0.88, 0.83
4, 0.59, 0.57, 0.83, 0.72, 0.85
8, 0.95, 0.95, 0.71, 0.77, 0.78
16, 0.89, 0.80, 0.88, 0.87, 0.85
32, 0.82, 0.80, 0.86, 0.90, 0.90
64, 0.89, 0.86, 0.85, 0.89, 0.86
