nb_thread, x1, x2, x3, x4, x5
2, 0.09, 0.12, 0.10, 0.09, 0.12
4, 0.06, 0.06, 0.09, 0.07, 0.06
8, 0.05, 0.04, 0.04, 0.04, 0.04
16, 0.03, 0.04, 0.04, 0.04, 0.03
32, 0.03, 0.03, 0.03, 0.03, 0.03
64, 0.03, 0.03, 0.03, 0.03, 0.03
