nb_thread, x1, x2, x3, x4, x5
2, 0.06, 0.05, 0.05, 0.05, 0.05
4, 0.07, 0.07, 0.07, 0.07, 0.07
8, 0.10, 0.10, 0.09, 0.09, 0.09
16, 0.16, 0.16, 0.15, 0.15, 0.18
32, 0.27, 0.30, 0.33, 0.32, 0.31
64, 0.72, 0.75, 0.70, 0.67, 0.82
