nb_thread, x1, x2, x3, x4, x5
2, 1.00, 1.00, 0.92, 1.01, 0.83
4, 0.81, 0.88, 0.85, 0.97, 0.92
8, 0.88, 0.84, 0.82, 0.86, 0.77
16, 0.93, 0.93, 0.94, 0.92, 0.92
32, 0.72, 0.74, 0.71, 0.71, 0.71
64, 0.61, 0.62, 0.61, 0.61, 0.61
