nb_thread, x1, x2, x3, x4, x5
2, 0.74, 0.53, 0.62, 0.71, 0.60
4, 1.37, 1.43, 1.27, 1.22, 1.36
8, 2.35, 2.27, 2.19, 2.44, 2.51
16, 4.41, 4.00, 4.16, 4.07, 4.16
32, 8.07, 8.09, 7.98, 8.16, 8.06
64, 16.12, 16.11, 16.11, 16.07, 16.08
