nb_thread, x1, x2, x3, x4, x5
2, 2.26, 2.67, 2.60, 2.76, 2.74
4, 3.36, 3.49, 3.43, 3.62, 3.68
8, 4.54, 4.77, 4.59, 5.02, 4.52
16, 7.15, 7.88, 7.49, 7.57, 7.97
32, 13.58, 13.81, 13.90, 13.56, 13.46
64, 26.33, 26.51, 26.21, 26.18, 26.28
