nb_thread, x1, x2, x3, x4, x5
2, 0.22, 0.22, 0.22, 0.22, 0.22
4, 0.22, 0.22, 0.22, 0.22, 0.22
8, 0.23, 0.22, 0.22, 0.23, 0.22
16, 0.23, 0.23, 0.23, 0.23, 0.23
32, 0.23, 0.23, 0.23, 0.23, 0.23
64, 0.23, 0.23, 0.23, 0.23, 0.23
