nb_thread, x1, x2, x3, x4, x5
2, 1.12, 1.11, 1.12, 1.12, 1.12
4, 2.48, 2.47, 2.47, 2.42, 2.49
8, 3.91, 3.88, 3.98, 3.87, 3.84
16, 7.58, 7.70, 7.72, 7.56, 7.68
32, 14.93, 14.80, 14.85, 14.97, 14.95
64, 30.00, 29.99, 29.73, 29.90, 29.98
