nb_thread, x1, x2, x3, x4, x5
2, 0.25, 0.25, 0.25, 0.25, 0.25
4, 0.25, 0.25, 0.25, 0.28, 0.25
8, 0.22, 0.22, 0.22, 0.22, 0.22
16, 0.22, 0.22, 0.22, 0.22, 0.22
32, 0.22, 0.22, 0.22, 0.22, 0.22
64, 0.23, 0.23, 0.23, 0.23, 0.23
